,Issue key,Issue id,Status,Reporter,Created,Due Date,Resolved,Customer,Type of Request,Parent id,Review created,Communicate created,age_till_communicate,age_till_communicate_hours
957,CI-6951,395052,Closed,ccasper,2022-06-02 08:28:00,03/Jun/22 12:00 AM,22/Jun/22 10:49 AM,Porsche,Project,395052,2022-06-02 08:28:00,2022-06-21 10:44:00,19 days 02:16:00.000000000,458.27
958,CI-6950,394893,Closed,aklabisz,2022-06-01 10:46:00,08/Jun/22 12:00 AM,01/Jun/22 10:56 AM,OHL,Service Request (SR),394893,2022-06-01 10:46:00,,,
959,CI-6949,394887,Closed,nsanchez,2022-06-01 10:34:00,07/Jun/22 12:00 AM,22/Jul/22 11:20 AM,TUI AG,Service Request (SR),394887,2022-06-01 10:34:00,2022-07-22 11:12:00,51 days 00:38:00.000000000,1224.63
960,CI-6948,394869,Closed,mueller,2022-06-01 09:29:00,02/Jun/22 12:00 AM,01/Jun/22 5:09 PM,Porsche,Service Request (SR),394869,2022-06-01 09:29:00,2022-06-01 17:08:00,0 days 07:39:00.000000000,7.65
961,CI-6947,394835,Closed,yutaka,2022-06-01 08:19:00,03/Jun/22 12:00 AM,10/Jun/22 7:09 AM,Rewe Group,Service Request (SR),394835,2022-06-01 08:19:00,2022-06-01 08:27:00,0 days 00:08:00.000000000,0.13
962,CI-6946,394830,Closed,yutaka,2022-06-01 07:25:00,10/Jun/22 12:00 AM,02/Jun/22 2:50 AM,Porsche,Service Request (SR),394830,2022-06-01 07:25:00,2022-06-01 17:08:00,0 days 09:43:00.000000000,9.72
963,CI-6945,394771,Closed,aklabisz,2022-05-31 12:50:00,02/Jun/22 12:00 AM,21/Oct/22 9:07 AM,Egis,Service Request (SR),394771,2022-05-31 12:51:00,2022-10-21 09:07:00,142 days 20:17:00.000000000,3428.28
964,CI-6944,394764,Communicate,pthuaud,2022-05-31 12:10:00,17/Jun/22 12:00 AM,,Amadeus,Project,394764,2022-05-31 12:10:00,2022-09-01 12:47:00,93 days 00:37:00.000000000,2232.62
965,CI-6943,394759,Closed,nsanchez,2022-05-31 11:59:00,08/Jun/22 12:00 AM,29/Jun/22 2:51 PM,Traton SE,Service Request (SR),394759,2022-05-31 11:59:00,2022-06-29 14:39:00,29 days 02:40:00.000000000,698.67
966,CI-6942,394707,Communicate,yutaka,2022-05-31 08:07:00,03/Jun/22 12:00 AM,,Amadeus,Incident Request (IR),394707,2022-05-31 08:07:00,2022-12-14 12:57:00,197 days 04:50:00.000000000,4732.83
967,CI-6941,394688,Closed,yutaka,2022-05-31 02:53:00,03/Jun/22 12:00 AM,16/Jun/22 8:34 AM,Continental,Incident Request (IR),394688,2022-05-31 02:53:00,2022-06-15 12:03:00,15 days 09:10:00.000000000,369.17
968,CI-6940,394478,Closed,nsanchez,2022-05-30 10:37:00,30/May/22 12:00 AM,01/Jun/22 4:00 PM,TUI AG,Incident Request (IR),394478,2022-05-30 10:37:00,,,
969,CI-6939,394390,Closed,yutaka,2022-05-30 04:46:00,03/Jun/22 12:00 AM,15/Jun/22 2:25 AM,Endress Hauser,Incident Request (IR),394390,2022-05-30 04:46:00,2022-06-07 09:43:00,8 days 04:57:00.000000000,196.95
970,CI-6938,394270,Closed,ssanz,2022-05-27 14:42:00,03/Jun/22 12:00 AM,03/Jun/22 9:26 AM,Allianz,Incident Request (IR),394270,2022-05-27 14:42:00,,,
971,CI-6937,394219,Closed,ssanz,2022-05-27 13:03:00,03/Jun/22 12:00 AM,31/May/22 1:48 PM,Allianz,Incident Request (IR),394219,2022-05-27 13:03:00,2022-05-30 08:55:00,2 days 19:52:00.000000000,67.87
972,CI-6936,394215,Closed,aklabisz,2022-05-27 12:49:00,31/May/22 12:00 AM,03/Jun/22 9:53 AM,Traton SE,Service Request (SR),394215,2022-05-27 12:49:00,2022-05-30 15:27:00,3 days 02:38:00.000000000,74.63
973,CI-6935,394172,Closed,ssanz,2022-05-27 10:26:00,03/Jun/22 12:00 AM,13/Jul/22 12:45 PM,Bentley,Incident Request (IR),394172,2022-05-27 10:26:00,,,
974,CI-6934,394122,Configure,hilbich,2022-05-27 08:30:00,03/Jun/22 12:00 AM,,Expense Development,Service Request (SR),394122,2022-05-27 08:30:00,,,
975,CI-6933,394093,Closed,yutaka,2022-05-27 04:22:00,31/May/22 12:00 AM,17/Jun/22 3:13 AM,CMS Hasche Sigle,Incident Request (IR),394093,2022-05-27 04:22:00,2022-05-30 15:05:00,3 days 10:43:00.000000000,82.72
976,CI-6932,394090,Closed,yutaka,2022-05-27 02:50:00,31/May/22 12:00 AM,17/Jun/22 3:10 AM,Amadeus,Service Request (SR),394090,2022-05-27 02:50:00,2022-05-27 08:10:00,0 days 05:20:00.000000000,5.33
977,CI-6931,393945,Communicate,pthuaud,2022-05-26 06:58:00,17/Jun/22 12:00 AM,,Amadeus,Project,393945,2022-05-26 06:58:00,2022-11-02 11:52:00,160 days 04:54:00.000000000,3844.9
978,CI-6930,393942,Communicate,pthuaud,2022-05-26 06:48:00,17/Jun/22 12:00 AM,,Amadeus,Project,393942,2022-05-26 06:48:00,2022-11-02 11:52:00,160 days 05:04:00.000000000,3845.07
979,CI-6929,393937,Closed,ngraf,2022-05-26 03:18:00,31/May/22 12:00 AM,21/Jun/22 11:24 AM,OBB,Incident Request (IR),393937,2022-05-26 03:18:00,2022-06-20 17:15:00,25 days 13:57:00.000000000,613.95
980,CI-6928,393893,Closed,ssanz,2022-05-25 17:05:00,01/Jun/22 12:00 AM,03/Jun/22 9:26 AM,Allianz,Incident Request (IR),393893,2022-05-25 17:05:00,,,
981,CI-6927,393804,Closed,nsanchez,2022-05-25 12:54:00,01/Jun/22 12:00 AM,30/May/22 11:01 AM,Daimler (MFTBC),Service Request (SR),393804,2022-05-25 12:54:00,2022-05-30 09:22:00,4 days 20:28:00.000000000,116.47
982,CI-6926,393799,Communicate,aklabisz,2022-05-25 12:42:00,12/Jul/22 12:00 AM,07/Jul/22 3:48 PM,Aquila Capital,Service Request (SR),393799,2022-05-25 12:42:00,2022-08-01 16:06:00,68 days 03:24:00.000000000,1635.4
983,CI-6925,393776,Verify,pthuaud,2022-05-25 11:51:00,17/Jun/22 12:00 AM,,Amadeus,Project,393776,2022-05-25 11:51:00,,,
984,CI-6924,393770,Closed,nsanchez,2022-05-25 11:42:00,30/May/22 12:00 AM,31/May/22 11:03 AM,Traton SE,Service Request (SR),393770,2022-05-25 11:42:00,2022-05-31 07:12:00,5 days 19:30:00.000000000,139.5
985,CI-6923,393749,Closed,aklabisz,2022-05-25 11:19:00,31/May/22 12:00 AM,26/Sep/22 3:50 PM,Rhenus,Service Request (SR),393749,2022-05-25 11:19:00,2022-06-13 08:21:00,18 days 21:02:00.000000000,453.03
986,CI-6922,393737,Closed,ssanz,2022-05-25 10:52:00,02/Jun/22 12:00 AM,07/Nov/22 10:23 AM,Porsche,Incident Request (IR),393737,2022-05-25 10:52:00,2022-11-07 10:22:00,165 days 23:30:00.000000000,3983.5
987,CI-6921,393730,Closed,ccasper,2022-05-25 10:35:00,03/Jun/22 12:00 AM,30/May/22 9:48 AM,Porsche,Project,393730,2022-05-25 10:35:00,2022-05-27 09:36:00,1 days 23:01:00.000000000,47.02
988,CI-6920,393727,Closed,aruizrobles,2022-05-25 10:27:00,26/May/22 12:00 AM,25/May/22 2:39 PM,Numiga,Service Request (SR),393727,2022-05-25 10:27:00,2022-05-25 14:18:00,0 days 03:51:00.000000000,3.85
989,CI-6919,393720,Communicate,pthuaud,2022-05-25 10:09:00,17/Jun/22 12:00 AM,,Amadeus,Project,393720,2022-05-25 10:09:00,2022-09-01 12:20:00,99 days 02:11:00.000000000,2378.18
990,CI-6918,393712,Closed,ccasper,2022-05-25 10:00:00,03/Jun/22 12:00 AM,22/Jun/22 12:09 PM,Porsche,Project,393712,2022-05-25 10:00:00,2022-06-22 11:49:00,28 days 01:49:00.000000000,673.82
991,CI-6917,393685,Closed,ccasper,2022-05-25 09:19:00,03/Jun/22 12:00 AM,22/Jun/22 12:09 PM,Porsche,Project,393685,2022-05-25 09:19:00,2022-06-22 11:49:00,28 days 02:30:00.000000000,674.5
992,CI-6916,393674,Closed,ccasper,2022-05-25 09:04:00,03/Jun/22 12:00 AM,02/Jun/22 2:07 PM,Porsche,Project,393674,2022-05-25 09:04:00,2022-06-02 11:15:00,8 days 02:11:00.000000000,194.18
993,CI-6915,393637,Closed,shimizu,2022-05-25 04:55:00,01/Jun/22 12:00 AM,22/Jun/22 9:38 AM,Product Management,Service Request (SR),393637,2022-05-25 04:55:00,2022-06-20 15:54:00,26 days 10:59:00.000000000,634.98
994,CI-6914,393625,Closed,aruizrobles,2022-05-24 17:40:00,31/May/22 12:00 AM,31/May/22 9:04 AM,Numiga,Service Request (SR),393625,2022-05-24 17:40:00,2022-05-30 20:27:00,6 days 02:47:00.000000000,146.78
995,CI-6913,393617,Closed,nsanchez,2022-05-24 16:23:00,31/May/22 12:00 AM,27/Jun/22 3:26 PM,Amadeus,Incident Request (IR),393617,2022-05-24 16:23:00,2022-06-15 09:09:00,21 days 16:46:00.000000000,520.77
996,CI-6912,393599,Closed,nsanchez,2022-05-24 16:11:00,30/May/22 12:00 AM,27/Jun/22 3:24 PM,Eberspacher,Service Request (SR),393599,2022-05-24 16:11:00,2022-06-20 11:48:00,26 days 19:37:00.000000000,643.62
997,CI-6911,393585,Communicate,aklabisz,2022-05-24 15:11:00,11/Aug/22 12:00 AM,,VW,Service Request (SR),393585,2022-05-24 15:11:00,2022-10-03 12:19:00,131 days 21:08:00.000000000,3165.13
998,CI-6909,393532,Review,pthuaud,2022-05-24 11:56:00,01/Aug/22 12:00 AM,,Amadeus,Project,393532,2022-05-24 11:56:00,,,
999,CI-6908,393461,Closed,yutaka,2022-05-24 05:26:00,27/May/22 12:00 AM,13/Jun/22 4:06 AM,Porsche,Service Request (SR),393461,2022-05-24 05:26:00,2022-05-26 01:56:00,1 days 20:30:00.000000000,44.5
1000,CI-6907,393459,Closed,yutaka,2022-05-24 05:11:00,27/May/22 12:00 AM,01/Jul/22 8:22 AM,Hugo Boss,Service Request (SR),393459,2022-05-24 05:11:00,2022-06-13 01:44:00,19 days 20:33:00.000000000,476.55
1001,CI-6906,393457,Closed,yutaka,2022-05-24 04:00:00,27/May/22 12:00 AM,03/Jun/22 8:15 AM,VW,Service Request (SR),393457,2022-05-24 04:00:00,2022-05-24 08:52:00,0 days 04:52:00.000000000,4.87
1002,CI-6905,393443,Closed,aruizrobles,2022-05-23 17:59:00,30/May/22 12:00 AM,30/May/22 1:46 PM,Numiga,Service Request (SR),393443,2022-05-23 17:59:00,2022-05-30 12:00:00,6 days 18:01:00.000000000,162.02
1003,CI-6904,393418,Closed,ssanz,2022-05-23 16:46:00,30/May/22 12:00 AM,07/Jun/22 8:23 AM,Vaillant,Incident Request (IR),393418,2022-05-23 16:46:00,2022-06-03 14:41:00,10 days 21:55:00.000000000,261.92
1004,CI-6903,393412,Closed,aruizrobles,2022-05-23 16:30:00,30/May/22 12:00 AM,30/May/22 9:40 AM,Numiga,Service Request (SR),393412,2022-05-23 16:30:00,2022-05-30 08:49:00,6 days 16:19:00.000000000,160.32
1005,CI-6902,393407,Closed,ngraf,2022-05-23 16:22:00,30/May/22 12:00 AM,08/Jun/22 5:11 PM,i:FAO,Incident Request (IR),393407,2022-05-23 16:22:00,2022-06-08 12:53:00,15 days 20:31:00.000000000,380.52
1006,CI-6901,393357,Verify,aklabisz,2022-05-23 13:21:00,30/May/22 12:00 AM,,Porsche,Service Request (SR),393357,2022-05-23 13:21:00,,,
1007,CI-6900,393321,Closed,nsanchez,2022-05-23 11:14:00,24/May/22 12:00 AM,08/Jun/22 5:09 PM,Burda,Service Request (SR),393321,2022-05-23 11:14:00,2022-06-03 13:41:00,11 days 02:27:00.000000000,266.45
1008,CI-6899,393289,Closed,aruizrobles,2022-05-23 09:58:00,30/May/22 12:00 AM,27/May/22 10:52 AM,Numiga,Service Request (SR),393289,2022-05-23 09:58:00,2022-05-27 07:56:00,3 days 21:58:00.000000000,93.97
1009,CI-6898,393200,Closed,aruizrobles,2022-05-20 15:22:00,30/May/22 12:00 AM,30/May/22 5:27 PM,TM Con,Service Request (SR),393200,2022-05-20 15:22:00,2022-05-30 15:09:00,9 days 23:47:00.000000000,239.78
1010,CI-6897,392974,Closed,guinoo,2022-05-20 01:14:00,27/May/22 12:00 AM,07/Jun/22 1:58 AM,CEPSA,Service Request (SR),392974,2022-05-20 01:14:00,2022-05-30 14:43:00,10 days 13:29:00.000000000,253.48
1011,CI-6896,392970,Closed,ngraf,2022-05-19 23:54:00,24/May/22 12:00 AM,26/May/22 3:01 AM,OBB,Incident Request (IR),392970,2022-05-19 23:54:00,2022-05-24 15:09:00,4 days 15:15:00.000000000,111.25
1012,CI-6895,392954,Closed,ssanz,2022-05-19 17:10:00,26/May/22 12:00 AM,26/May/22 11:15 AM,Allianz,Service Request (SR),392954,2022-05-19 17:10:00,2022-05-26 11:15:00,6 days 18:05:00.000000000,162.08
1013,CI-6894,392871,Closed,aklabisz,2022-05-19 13:28:00,26/May/22 12:00 AM,06/Oct/22 8:33 AM,VW,Service Request (SR),392871,2022-05-19 13:28:00,,,
1014,CI-6893,392840,Closed,pthuaud,2022-05-19 12:45:00,31/May/22 12:00 AM,18/Nov/22 9:47 AM,Amadeus,Project,392840,2022-05-19 12:45:00,2022-07-25 09:40:00,66 days 20:55:00.000000000,1604.92
1015,CI-6892,392831,Closed,yutaka,2022-05-19 11:50:00,20/May/22 12:00 AM,06/Jun/22 6:34 AM,ArcelorMittal,Service Request (SR),392831,2022-05-19 11:50:00,2022-05-19 13:47:00,0 days 01:57:00.000000000,1.95
1016,CI-6891,392824,Closed,yutaka,2022-05-19 11:40:00,20/May/22 12:00 AM,21/Jun/22 5:03 AM,Eberspacher,Service Request (SR),392824,2022-05-19 11:40:00,2022-06-10 02:56:00,21 days 15:16:00.000000000,519.27
1017,CI-6890,392775,Closed,yutaka,2022-05-19 11:22:00,20/May/22 12:00 AM,08/Jun/22 6:47 AM,Eberspacher,Service Request (SR),392775,2022-05-19 11:22:00,2022-06-06 06:49:00,17 days 19:27:00.000000000,427.45
1018,CI-6889,392772,Closed,ilalov,2022-05-19 11:18:00,26/May/22 12:00 AM,10/Jun/22 12:02 PM,i:FAO,Project,392772,2022-05-19 11:18:00,,,
1019,CI-6888,392761,Review,gmalarski,2022-05-19 10:44:00,30/Jun/22 12:00 AM,,Customer not yet listed,Project,392761,2022-05-19 10:44:00,,,
1020,CI-6887,392759,Closed,gmalarski,2022-05-19 10:40:00,30/Jun/22 12:00 AM,20/May/22 10:22 AM,Customer not yet listed,Project,392759,2022-05-19 10:40:00,,,
1021,CI-6886,392755,Closed,gmalarski,2022-05-19 10:36:00,30/Jun/22 12:00 AM,20/May/22 10:21 AM,Bentley,Project,392755,2022-05-19 10:36:00,,,
1022,CI-6885,392754,Closed,gmalarski,2022-05-19 10:36:00,30/Jun/22 12:00 AM,23/May/22 9:55 AM,Bentley,Project,392754,2022-05-19 10:36:00,,,
1023,CI-6884,392701,Closed,guinoo,2022-05-19 08:55:00,02/Jun/22 12:00 AM,05/Jul/22 1:24 PM,Hugo Boss,Service Request (SR),392701,2022-05-19 08:55:00,2022-07-05 10:12:00,47 days 01:17:00.000000000,1129.28
1024,CI-6883,392687,Closed,guinoo,2022-05-19 06:09:00,26/May/22 12:00 AM,05/Sep/22 11:41 AM,msg systems,Service Request (SR),392687,2022-05-19 06:09:00,,,
1025,CI-6882,392679,Closed,guinoo,2022-05-19 02:51:00,24/May/22 12:00 AM,07/Jun/22 1:57 AM,Aquila Capital,Service Request (SR),392679,2022-05-19 02:51:00,2022-05-19 14:05:00,0 days 11:14:00.000000000,11.23
1026,CI-6881,392677,Closed,ngraf,2022-05-19 02:13:00,23/May/22 12:00 AM,08/Jun/22 5:09 PM,OBB,Incident Request (IR),392677,2022-05-19 02:13:00,2022-06-07 10:44:00,19 days 08:31:00.000000000,464.52
1027,CI-6880,392675,Closed,yutaka,2022-05-19 02:05:00,24/May/22 12:00 AM,20/Jun/22 4:36 AM,ArcelorMittal,Service Request (SR),392675,2022-05-19 02:05:00,2022-06-02 09:30:00,14 days 07:25:00.000000000,343.42
1028,CI-6879,392604,Closed,fkazmierczak,2022-05-18 14:43:00,30/Jun/22 12:00 AM,21/Jun/22 10:43 AM,TUI AG,Project,392604,2022-05-18 14:43:00,,,
1029,CI-6878,392373,Closed,yutaka,2022-05-18 04:43:00,20/May/22 12:00 AM,08/Jun/22 6:49 AM,msg systems,Service Request (SR),392373,2022-05-18 04:43:00,2022-06-08 06:49:00,21 days 02:06:00.000000000,506.1
1030,CI-6877,392371,Closed,yutaka,2022-05-18 04:34:00,20/May/22 12:00 AM,28/Jun/22 11:06 AM,CMS Hasche Sigle,Incident Request (IR),392371,2022-05-18 04:34:00,,,
1031,CI-6876,392365,Closed,guinoo,2022-05-18 03:08:00,25/May/22 12:00 AM,23/May/22 3:25 PM,Rewe Group,Service Request (SR),392365,2022-05-18 03:08:00,,,
1032,CI-6875,392313,Closed,ssanz,2022-05-17 16:10:00,24/May/22 12:00 AM,23/May/22 4:17 PM,Allianz,Service Request (SR),392313,2022-05-17 16:10:00,2022-05-23 10:16:00,5 days 18:06:00.000000000,138.1
1033,CI-6874,392168,Closed,gmalarski,2022-05-17 13:06:00,30/Jun/22 12:00 AM,18/May/22 11:38 AM,Customer not yet listed,Service Request (SR),392168,2022-05-17 13:06:00,,,
1034,CI-6873,392045,Configure,gmalarski,2022-05-17 10:48:00,29/Jul/22 12:00 AM,,OBB,Project,392045,2022-05-17 10:48:00,,,
1035,CI-6872,392026,Import to Test,gmalarski,2022-05-17 10:30:00,29/Jul/22 12:00 AM,,OBB,Project,392026,2022-05-17 10:30:00,,,
1036,CI-6871,392021,Import to Test,gmalarski,2022-05-17 10:27:00,29/Jul/22 12:00 AM,,OBB,Project,392021,2022-05-17 10:27:00,,,
1037,CI-6870,391747,Closed,yutaka,2022-05-17 05:39:00,19/May/22 12:00 AM,15/Jun/22 2:08 AM,Continental,Incident Request (IR),391747,2022-05-17 05:39:00,2022-05-18 15:22:00,1 days 09:43:00.000000000,33.72
1038,CI-6869,391693,Closed,gmalarski,2022-05-16 16:21:00,29/Jul/22 12:00 AM,20/Jun/22 11:41 AM,Allianz,Project,391693,2022-05-16 16:21:00,2022-06-20 11:41:00,34 days 19:20:00.000000000,835.33
1039,CI-6868,391691,Closed,gmalarski,2022-05-16 16:20:00,29/Jul/22 12:00 AM,30/May/22 5:02 PM,Allianz,Project,391691,2022-05-16 16:20:00,2022-05-17 15:52:00,0 days 23:32:00.000000000,23.53
1040,CI-6867,391689,Closed,gmalarski,2022-05-16 16:19:00,29/Jul/22 12:00 AM,30/May/22 5:02 PM,Allianz,Project,391689,2022-05-16 16:19:00,2022-05-19 13:01:00,2 days 20:42:00.000000000,68.7
1041,CI-6866,391687,Closed,gmalarski,2022-05-16 16:18:00,29/Jul/22 12:00 AM,10/Aug/22 8:25 AM,Allianz,Project,391687,2022-05-16 16:18:00,2022-08-04 13:41:00,79 days 21:23:00.000000000,1917.38
1042,CI-6865,391682,Closed,gmalarski,2022-05-16 16:11:00,29/Jul/22 12:00 AM,26/May/22 9:31 AM,Rheinmetall,Project,391682,2022-05-16 16:11:00,,,
1043,CI-6864,391469,Closed,aklabisz,2022-05-16 13:04:00,23/May/22 12:00 AM,11/Jul/22 10:58 AM,Munckhof,Service Request (SR),391469,2022-05-16 13:04:00,,,
1044,CI-6863,391368,Closed,aklabisz,2022-05-16 11:58:00,23/May/22 12:00 AM,31/May/22 11:08 AM,Red Electrica,Service Request (SR),391368,2022-05-16 11:58:00,2022-05-30 08:54:00,13 days 20:56:00.000000000,332.93
1045,CI-6862,390617,Communicate,gmalarski,2022-05-13 11:36:00,13/Jun/22 12:00 AM,,,,390617,2022-05-13 11:36:00,,,
1046,CI-6861,390455,Closed,mkuchciak,2022-05-13 09:21:00,30/Jun/22 12:00 AM,05/Jul/22 11:03 AM,Customer not yet listed,Project,390455,2022-05-13 09:21:00,2022-07-05 11:03:00,53 days 01:42:00.000000000,1273.7
1047,CI-6860,390450,Closed,mkuchciak,2022-05-13 09:19:00,30/Jun/22 12:00 AM,07/Jul/22 12:12 PM,Customer not yet listed,Project,390450,2022-05-13 09:19:00,2022-07-07 12:12:00,55 days 02:53:00.000000000,1322.88
1048,CI-6859,390448,Closed,mkuchciak,2022-05-13 09:18:00,30/Jun/22 12:00 AM,05/Jul/22 11:03 AM,Customer not yet listed,Project,390448,2022-05-13 09:18:00,2022-07-05 11:03:00,53 days 01:45:00.000000000,1273.75
1049,CI-6858,390443,Closed,mkuchciak,2022-05-13 09:17:00,30/Jun/22 12:00 AM,05/Jul/22 11:02 AM,Customer not yet listed,Project,390443,2022-05-13 09:17:00,2022-07-05 11:02:00,53 days 01:45:00.000000000,1273.75
1050,CI-6857,390438,Closed,mkuchciak,2022-05-13 09:17:00,30/Jun/22 12:00 AM,05/Jul/22 11:02 AM,Customer not yet listed,Project,390438,2022-05-13 09:17:00,2022-07-05 11:02:00,53 days 01:45:00.000000000,1273.75
1051,CI-6856,390436,Closed,mkuchciak,2022-05-13 09:15:00,30/Jun/22 12:00 AM,05/Jul/22 11:02 AM,Customer not yet listed,Project,390436,2022-05-13 09:15:00,2022-07-05 11:02:00,53 days 01:47:00.000000000,1273.78
1052,CI-6855,390434,Closed,gheorghe,2022-05-13 09:15:00,19/May/22 12:00 AM,21/Jun/22 10:17 AM,Allianz,Project,390434,2022-05-13 09:15:00,2022-05-13 14:00:00,0 days 04:45:00.000000000,4.75
1053,CI-6854,390432,Closed,mkuchciak,2022-05-13 09:14:00,30/Jun/22 12:00 AM,05/Jul/22 11:02 AM,Customer not yet listed,Project,390432,2022-05-13 09:14:00,2022-07-05 11:02:00,53 days 01:48:00.000000000,1273.8
1054,CI-6853,390430,Closed,mkuchciak,2022-05-13 09:14:00,30/Jun/22 12:00 AM,05/Jul/22 11:02 AM,Customer not yet listed,Project,390430,2022-05-13 09:14:00,2022-07-05 11:01:00,53 days 01:47:00.000000000,1273.78
1055,CI-6852,390428,Closed,mkuchciak,2022-05-13 09:13:00,30/Jun/22 12:00 AM,05/Jul/22 11:01 AM,Customer not yet listed,Project,390428,2022-05-13 09:13:00,2022-07-05 11:01:00,53 days 01:48:00.000000000,1273.8
1056,CI-6851,390426,Closed,mkuchciak,2022-05-13 09:12:00,30/Jun/22 12:00 AM,05/Jul/22 11:01 AM,Customer not yet listed,Project,390426,2022-05-13 09:12:00,2022-07-05 11:01:00,53 days 01:49:00.000000000,1273.82
1057,CI-6850,390424,Closed,mkuchciak,2022-05-13 09:12:00,30/Jun/22 12:00 AM,05/Jul/22 11:01 AM,Customer not yet listed,Project,390424,2022-05-13 09:12:00,2022-07-05 11:01:00,53 days 01:49:00.000000000,1273.82
1058,CI-6849,390421,Closed,mkuchciak,2022-05-13 09:11:00,30/Jun/22 12:00 AM,05/Jul/22 11:01 AM,Customer not yet listed,Project,390421,2022-05-13 09:11:00,2022-07-05 11:01:00,53 days 01:50:00.000000000,1273.83
1059,CI-6848,390419,Closed,mkuchciak,2022-05-13 09:10:00,30/Jun/22 12:00 AM,05/Jul/22 11:00 AM,Customer not yet listed,Project,390419,2022-05-13 09:10:00,2022-07-05 11:00:00,53 days 01:50:00.000000000,1273.83
1060,CI-6847,390417,Closed,mkuchciak,2022-05-13 09:09:00,30/Jun/22 12:00 AM,05/Jul/22 11:00 AM,Customer not yet listed,Project,390417,2022-05-13 09:09:00,2022-07-05 11:00:00,53 days 01:51:00.000000000,1273.85
1061,CI-6845,390348,Closed,yutaka,2022-05-13 07:46:00,17/May/22 12:00 AM,08/Jun/22 2:05 AM,Amadeus,Incident Request (IR),390348,2022-05-13 07:47:00,2022-05-17 14:56:00,4 days 07:10:00.000000000,103.17
1062,CI-6844,390331,Review,shimizu,2022-05-13 07:07:00,30/Jun/22 12:00 AM,,Product Management,Project,390331,2022-05-13 07:07:00,,,
1063,CI-6843,390324,Closed,guinoo,2022-05-13 07:03:00,20/May/22 12:00 AM,06/Jun/22 1:57 AM,ProcurX,Service Request (SR),390324,2022-05-13 07:03:00,2022-05-20 04:18:00,6 days 21:15:00.000000000,165.25
1064,CI-6842,390313,Closed,guinoo,2022-05-13 06:40:00,20/May/22 12:00 AM,09/Jun/22 1:00 AM,Enercon,Service Request (SR),390313,2022-05-13 06:40:00,2022-05-31 10:10:00,18 days 03:30:00.000000000,435.5
1065,CI-6841,390311,Closed,yutaka,2022-05-13 06:40:00,20/May/22 12:00 AM,24/Aug/22 11:40 AM,Vaillant,Service Request (SR),390311,2022-05-13 06:40:00,2022-08-24 08:31:00,103 days 01:51:00.000000000,2473.85
1066,CI-6840,390308,Closed,yutaka,2022-05-13 06:05:00,17/May/22 12:00 AM,06/Jun/22 6:51 AM,Orange,Incident Request (IR),390308,2022-05-13 06:05:00,2022-05-17 11:47:00,4 days 05:42:00.000000000,101.7
1067,CI-6839,390305,Closed,guinoo,2022-05-13 05:05:00,20/May/22 12:00 AM,17/Jun/22 10:11 AM,Munckhof,Service Request (SR),390305,2022-05-13 05:05:00,2022-06-17 10:10:00,35 days 05:05:00.000000000,845.08
1068,CI-6838,390282,Closed,mstaszek,2022-05-12 17:14:00,30/Jun/22 12:00 AM,20/Jul/22 10:02 AM,,,390282,2022-05-12 17:14:00,2022-07-20 10:02:00,68 days 16:48:00.000000000,1648.8
1069,CI-6837,390260,Closed,nsanchez,2022-05-12 16:03:00,23/May/22 12:00 AM,27/Jun/22 3:10 PM,CEPSA,Service Request (SR),390260,2022-05-12 16:03:00,2022-06-23 17:11:00,42 days 01:08:00.000000000,1009.13
1070,CI-6836,390224,Closed,aklabisz,2022-05-12 15:12:00,19/May/22 12:00 AM,12/Jul/22 10:20 AM,Apleona,Service Request (SR),390224,2022-05-12 15:12:00,2022-07-12 10:19:00,60 days 19:07:00.000000000,1459.12
1071,CI-6835,390174,Closed,aklabisz,2022-05-12 13:28:00,12/May/22 12:00 AM,13/May/22 11:31 AM,Rheinmetall,Incident Request (IR),390174,2022-05-12 13:28:00,2022-05-12 14:35:00,0 days 01:07:00.000000000,1.12
1072,CI-6834,390114,Closed,aruizrobles,2022-05-12 10:46:00,19/May/22 12:00 AM,18/May/22 5:34 PM,Numiga,Service Request (SR),390114,2022-05-12 10:46:00,2022-05-18 15:37:00,6 days 04:51:00.000000000,148.85
1073,CI-6833,390101,Closed,aruizrobles,2022-05-12 10:25:00,19/May/22 12:00 AM,26/May/22 9:46 AM,Numiga,Service Request (SR),390101,2022-05-12 10:25:00,2022-05-26 08:49:00,13 days 22:24:00.000000000,334.4
1074,CI-6832,390098,Closed,aruizrobles,2022-05-12 10:08:00,31/May/22 12:00 AM,07/Jun/22 9:20 AM,Numiga,Service Request (SR),390098,2022-05-12 10:08:00,2022-06-07 08:22:00,25 days 22:14:00.000000000,622.23
1075,CI-6831,390012,Closed,ssanz,2022-05-12 06:48:00,19/May/22 12:00 AM,01/Jun/22 3:13 PM,Allianz,Incident Request (IR),390012,2022-05-12 06:48:00,,,
1076,CI-6830,390007,Closed,guinoo,2022-05-12 06:03:00,19/May/22 12:00 AM,17/May/22 2:06 AM,Continental,Service Request (SR),390007,2022-05-12 06:03:00,2022-05-17 02:05:00,4 days 20:02:00.000000000,116.03
1077,CI-6829,389997,Closed,guinoo,2022-05-12 01:36:00,19/May/22 12:00 AM,20/May/22 12:57 AM,FBT-First Business Travel,Service Request (SR),389997,2022-05-12 01:36:00,2022-05-19 11:55:00,7 days 10:19:00.000000000,178.32
