,Issue key,Issue id,Status,Reporter,Created,Due Date,Resolved,Customer,Type of Request,Parent id,Review created,Communicate created,age_till_communicate,age_till_communicate_hours
1336,CI-6562,374249,Closed,yutaka,2022-03-09 03:27:00,09/Mar/22 12:00 AM,09/Mar/22 11:55 AM,Fiege,Service Request (SR),374249,2022-03-09 03:27:00,2022-03-09 11:55:00,0 days 08:28:00.000000000,8.47
1337,CI-6561,374097,Closed,nikolova,2022-03-08 12:12:00,15/Mar/22 12:00 AM,24/Nov/22 4:29 PM,,,374097,2022-03-08 12:12:00,2022-11-24 16:28:00,261 days 04:16:00.000000000,6268.27
1338,CI-6560,374050,Do,gmalarski,2022-03-08 10:55:00,01/Jan/30 12:00 AM,,,,374050,2022-03-08 10:55:00,,,
1339,CI-6559,374032,Closed,gmalarski,2022-03-08 10:36:00,14/May/21 12:00 AM,08/Mar/22 10:56 AM,Analytics & Development Team,Project,374032,2022-03-08 10:36:00,,,
1340,CI-6558,373650,Closed,gmalarski,2022-03-07 13:19:00,31/May/22 12:00 AM,19/May/22 2:54 PM,,,373650,2022-03-07 13:19:00,2022-05-19 14:54:00,73 days 01:35:00.000000000,1753.58
1341,CI-6557,373647,Do,gmalarski,2022-03-07 13:16:00,25/Mar/22 12:00 AM,,,,373647,2022-03-07 13:16:00,,,
1342,CI-6556,373641,Closed,gmalarski,2022-03-07 13:13:00,25/Mar/22 12:00 AM,17/Mar/22 1:15 PM,,,373641,2022-03-07 13:13:00,2022-03-17 13:15:00,10 days 00:02:00.000000000,240.03
1343,CI-6555,373634,Closed,raphose,2022-03-07 13:02:00,25/Mar/22 12:00 AM,18/Nov/22 1:29 PM,Ledvance,Project,373634,2022-03-07 13:02:00,2022-07-14 09:13:00,128 days 20:11:00.000000000,3092.18
1344,CI-6554,373632,Closed,raphose,2022-03-07 13:01:00,25/Mar/22 12:00 AM,10/May/22 3:29 PM,Traton SE,Project,373632,2022-03-07 13:01:00,2022-05-02 11:15:00,55 days 22:14:00.000000000,1342.23
1345,CI-6553,373630,Closed,raphose,2022-03-07 13:00:00,30/Jun/22 12:00 AM,18/Nov/22 1:29 PM,Traton SE,Project,373630,2022-03-07 13:00:00,2022-06-21 13:17:00,106 days 00:17:00.000000000,2544.28
1346,CI-6552,373627,Closed,raphose,2022-03-07 12:59:00,30/Jun/22 12:00 AM,07/Jun/22 8:33 AM,i:FAO,Project,373627,2022-03-07 12:59:00,,,
1347,CI-6551,373625,Review,raphose,2022-03-07 12:58:00,30/Jun/22 12:00 AM,,Ledvance,Project,373625,2022-03-07 12:58:00,,,
1348,CI-6550,373623,Review,raphose,2022-03-07 12:53:00,31/Aug/22 12:00 AM,,ProcurX,Project,373623,2022-03-07 12:53:00,,,
1349,CI-6549,373621,Review,raphose,2022-03-07 12:52:00,31/Aug/22 12:00 AM,,ProcurX,Project,373621,2022-03-07 12:52:00,,,
1350,CI-6548,373618,Review,raphose,2022-03-07 12:51:00,31/Aug/22 12:00 AM,,ProcurX,Project,373618,2022-03-07 12:51:00,,,
1351,CI-6547,373616,Review,raphose,2022-03-07 12:50:00,31/Aug/22 12:00 AM,,ProcurX,Project,373616,2022-03-07 12:50:00,,,
1352,CI-6546,373614,Review,raphose,2022-03-07 12:49:00,31/Aug/22 12:00 AM,,ProcuRX Etoro,Project,373614,2022-03-07 12:49:00,,,
1353,CI-6545,373611,Closed,shimizu,2022-03-07 12:36:00,14/Mar/22 12:00 AM,16/Mar/22 3:02 AM,Egis,Project,373611,2022-03-07 12:36:00,2022-03-15 12:26:00,7 days 23:50:00.000000000,191.83
1354,CI-6544,373609,Closed,raphose,2022-03-07 12:34:00,25/Mar/22 12:00 AM,10/May/22 3:28 PM,FBT-First Business Travel,Project,373609,2022-03-07 12:34:00,2022-03-29 12:01:00,21 days 23:27:00.000000000,527.45
1355,CI-6543,373607,Closed,raphose,2022-03-07 12:33:00,25/Mar/22 12:00 AM,10/May/22 3:27 PM,FBT-First Business Travel,Project,373607,2022-03-07 12:33:00,2022-05-09 11:53:00,62 days 23:20:00.000000000,1511.33
