Issue key,Issue id,Status,Reporter,Created,Due Date,Resolved,Customer,Type of Request,Parent id,time_in_review,time_on_codebusters,time_outside_codebusters
CI-8259,453008,Closed,aruizrobles,2023-03-03 17:46:00,10/Mar/23 12:00 AM,2023-03-13 09:49:00,Numiga,Service Request (SR),453008.0,9453.0,9467.0,28.0
CI-8257,452981,Closed,nsanchez,2023-03-03 15:02:00,13/Mar/23 12:00 AM,2023-03-21 10:02:00,Munckhof,Service Request (SR),452981.0,71.0,10010.0,1220.0
CI-8255,452973,Closed,yutaka,2023-03-03 14:38:00,22/Nov/22 12:00 AM,2023-03-03 14:39:00,Hugo Boss,Service Request (SR),452973.0,1.0000000000000002,1.0000000000000002,0.0
CI-8251,452791,Closed,yutaka,2023-03-03 05:27:00,10/Mar/23 12:00 AM,2023-03-22 15:07:00,Endress Hauser,Service Request (SR),452791.0,0.0,4142.000000000001,0.0
CI-8249,452780,Closed,yutaka,2023-03-03 02:44:00,17/Mar/23 12:00 AM,2023-04-05 09:30:00,CEPSA,Service Request (SR),452780.0,6341.0,22796.0,8824.0
CI-8248,452777,Closed,yutaka,2023-03-03 02:33:00,17/Mar/23 12:00 AM,2023-03-15 10:13:00,Eberspacher,Service Request (SR),452777.0,1.0000000000000002,1.0000000000000002,1782.0
CI-8245,452623,Closed,nsanchez,2023-03-02 11:17:00,13/Mar/23 12:00 AM,2023-03-14 16:26:00,Amadeus,Service Request (SR),452623.0,1315.0,6826.0,4823.0
CI-8244,452543,Closed,ssanz,2023-03-02 09:48:00,09/Mar/23 12:00 AM,2023-03-15 14:24:00,Allianz,Service Request (SR),452543.0,10250.0,10592.0,0.0
CI-8243,452540,Closed,aselmann,2023-03-02 09:47:00,09/Mar/23 12:00 AM,2023-03-06 08:33:00,Expense Development,Incident Request (IR),452540.0,1482.0,1508.0,4178.000000000001
CI-8242,452464,Closed,yutaka,2023-03-02 01:04:00,09/Mar/23 12:00 AM,2023-04-06 16:26:00,Burda,Service Request (SR),452464.0,7820.000000000001,19976.0,25863.0
CI-8237,451967,Closed,nsanchez,2023-02-28 11:30:00,08/Mar/23 12:00 AM,2023-03-13 14:13:00,Porsche,Service Request (SR),451967.0,10001.0,13245.0,991.0000000000001
CI-8236,451837,Closed,yutaka,2023-02-28 00:45:00,07/Mar/23 12:00 AM,2023-04-13 16:29:00,Hugo Boss,Service Request (SR),451837.0,12026.0,14446.0,10254.0
CI-8236,451837,Closed,yutaka,2023-02-28 00:45:00,07/Mar/23 12:00 AM,2023-04-13 16:29:00,Hugo Boss,Service Request (SR),451837.0,670.0,14446.0,10254.0
CI-8233,451488,Closed,shimizu,2023-02-27 06:51:00,06/Mar/23 12:00 AM,2023-04-13 08:54:00,Product Management,Service Request (SR),451488.0,13310.0,58373.0,1242.0
CI-8231,451099,Closed,nsanchez,2023-02-24 08:55:00,02/Mar/23 12:00 AM,2023-03-10 10:29:00,Hugo Boss,Service Request (SR),451099.0,16233.000000000002,16726.000000000004,2032.0000000000002
CI-8230,451063,Closed,shimizu,2023-02-24 06:51:00,28/Feb/23 12:00 AM,2023-03-07 11:29:00,Product Management,Service Request (SR),451063.0,223.0,15843.000000000002,275.0
CI-8229,451020,Closed,aruizrobles,2023-02-23 17:45:00,03/Mar/23 12:00 AM,2023-04-12 14:11:00,TM Con,Service Request (SR),451020.0,15528.0,16101.000000000002,23075.0
CI-8228,450993,Closed,nsanchez,2023-02-23 16:12:00,06/Mar/23 12:00 AM,2023-02-27 13:09:00,Wacker,Service Request (SR),450993.0,1308.0,1617.0,3960.0000000000005
CI-8226,450975,Closed,aruizrobles,2023-02-23 15:50:00,02/Mar/23 12:00 AM,2023-02-27 16:42:00,Numiga,Service Request (SR),450975.0,1375.0,1652.0,4160.000000000001
CI-8225,450885,Closed,ssanz,2023-02-23 13:56:00,02/Mar/23 12:00 AM,2023-03-23 16:34:00,Rehau,Service Request (SR),450885.0,1396.0,5900.0,19058.0
CI-8224,450881,Closed,nsanchez,2023-02-23 13:52:00,28/Feb/23 12:00 AM,2023-02-27 12:58:00,Endress Hauser,Service Request (SR),450881.0,5696.0,5696.0,10.0
CI-8220,450591,Closed,achattopadhyay,2023-02-22 14:58:00,28/Feb/23 12:00 AM,2023-02-27 14:00:00,Endress Hauser,Service Request (SR),450591.0,0.0,6856.0,286.0
CI-8220,450591,Closed,achattopadhyay,2023-02-22 14:58:00,28/Feb/23 12:00 AM,2023-02-27 14:00:00,Endress Hauser,Service Request (SR),450591.0,6856.0,6856.0,286.0
CI-8218,450520,Closed,mmaciejczyk,2023-02-22 12:23:00,01/Mar/23 12:00 AM,2023-03-16 12:26:00,Porsche,Service Request (SR),450520.0,17307.000000000004,19694.0,3015.0
CI-8217,450516,Closed,nsanchez,2023-02-22 12:11:00,01/Mar/23 12:00 AM,2023-02-27 11:38:00,Amadeus,Service Request (SR),450516.0,1454.0,6047.0,1120.0
CI-8215,450484,Closed,ssanz,2023-02-22 11:37:00,01/Mar/23 12:00 AM,2023-02-22 17:56:00,TUI AG,Service Request (SR),450484.0,91.0,230.0,149.0
CI-8214,450395,Closed,yutaka,2023-02-22 08:28:00,01/Mar/23 12:00 AM,2023-02-22 12:26:00,Daimler (MFTBC),Service Request (SR),450395.0,1.0000000000000002,231.0,7.0
CI-8213,450361,Closed,pthuaud,2023-02-22 04:53:00,24/Feb/23 12:00 AM,2023-03-09 10:44:00,Amadeus,Service Request (SR),450361.0,19264.0,20441.0,1510.0
CI-8212,450359,Closed,pthuaud,2023-02-22 04:46:00,24/Feb/23 12:00 AM,2023-02-23 03:42:00,Amadeus,Service Request (SR),450359.0,1375.0,1375.0,1.0000000000000002
CI-8210,450191,Closed,mmaciejczyk,2023-02-21 14:50:00,28/Feb/23 12:00 AM,2023-03-09 17:37:00,CEPSA,Service Request (SR),450191.0,23.0,22814.0,384.0
CI-8210,450191,Closed,mmaciejczyk,2023-02-21 14:50:00,28/Feb/23 12:00 AM,2023-03-09 17:37:00,CEPSA,Service Request (SR),450191.0,18875.0,22814.0,384.0
CI-8209,450104,Closed,kgostynska,2023-02-21 11:57:00,28/Feb/23 12:00 AM,2023-03-16 15:57:00,CEPSA,Service Request (SR),450104.0,19072.0,21649.0,504.00000000000006
CI-8209,450104,Closed,kgostynska,2023-02-21 11:57:00,28/Feb/23 12:00 AM,2023-03-16 15:57:00,CEPSA,Service Request (SR),450104.0,1213.0,21649.0,504.00000000000006
CI-8206,450084,Closed,mkuchciak,2023-02-21 11:34:00,24/Mar/23 12:00 AM,2023-03-17 10:11:00,Customer not yet listed,Service Request (SR),450084.0,18814.0,23430.0,0.0
CI-8205,450082,Closed,mkuchciak,2023-02-21 11:33:00,24/Mar/23 12:00 AM,2023-03-17 10:11:00,Customer not yet listed,Service Request (SR),450082.0,14633.0,20341.0,0.0
CI-8204,450080,Closed,mkuchciak,2023-02-21 11:32:00,24/Mar/23 12:00 AM,2023-03-17 10:11:00,Customer not yet listed,Service Request (SR),450080.0,14630.0,22036.0,0.0
CI-8203,450078,Closed,mkuchciak,2023-02-21 11:29:00,24/Mar/23 12:00 AM,2023-03-17 10:11:00,Customer not yet listed,Service Request (SR),450078.0,14570.0,19032.0,0.0
CI-8202,450076,Closed,mkuchciak,2023-02-21 11:28:00,24/Mar/23 12:00 AM,2023-03-17 10:10:00,Customer not yet listed,Service Request (SR),450076.0,13138.0,14633.0,0.0
