Issue key,Issue id,Status,Reporter,Created,Due Date,Resolved,Customer,Type of Request,Parent id,time_in_review,time_on_codebusters,time_outside_codebusters
CI-7101,402477,Closed,yutaka,2022-07-13 09:02:00,27/Jul/22 12:00 AM,2022-09-14 03:54:00,Endress Hauser,Incident Request (IR),402477.0,1136.0,36063.0,54349.0
CI-7101,402477,Closed,yutaka,2022-07-13 09:02:00,27/Jul/22 12:00 AM,2022-09-14 03:54:00,Endress Hauser,Incident Request (IR),402477.0,0.0,36063.0,54349.0
CI-7095,401699,Closed,nsanchez,2022-07-08 10:36:00,11/Jul/22 12:00 AM,2022-07-12 11:55:00,Ledvance,Incident Request (IR),401699.0,4345.000000000001,4697.0,1142.0
CI-7091,401378,Closed,nsanchez,2022-07-07 08:49:00,14/Jul/22 12:00 AM,2022-08-29 10:10:00,Rehau,Incident Request (IR),401378.0,10491.0,47255.0,29146.0
CI-7083,401064,Closed,yutaka,2022-07-06 03:36:00,08/Jul/22 12:00 AM,2022-08-17 10:49:00,OBB,Incident Request (IR),401064.0,60912.0,60912.0,1.0000000000000002
CI-7082,401057,Closed,ssanz,2022-07-05 17:41:00,08/Jul/22 12:00 AM,2022-07-20 12:56:00,Continental,Incident Request (IR),401057.0,936.0,21315.0,0.0
CI-7080,401042,Closed,ssanz,2022-07-05 16:41:00,08/Jul/22 12:00 AM,2023-01-24 10:14:00,CEPSA,Incident Request (IR),401042.0,1069.0000000000002,7172.0,284761.0
CI-7078,400823,Closed,yutaka,2022-07-05 04:19:00,15/Jul/22 12:00 AM,2022-08-05 05:43:00,CMS Hasche Sigle,Incident Request (IR),400823.0,2132.0000000000005,11488.0,33236.00000000001
CI-7073,400683,Closed,nsanchez,2022-07-04 12:21:00,07/Jul/22 12:00 AM,2022-08-04 08:53:00,TUI AG,Incident Request (IR),400683.0,288.0,34843.00000000001,9589.0
CI-7073,400683,Closed,nsanchez,2022-07-04 12:21:00,07/Jul/22 12:00 AM,2022-08-04 08:53:00,TUI AG,Incident Request (IR),400683.0,1563.0,34843.00000000001,9589.0
CI-7057,399914,Closed,nsanchez,2022-06-29 12:47:00,05/Jul/22 12:00 AM,2022-07-27 08:40:00,Traton SE,Incident Request (IR),399914.0,11.0,23411.0,16662.000000000004
CI-7057,399914,Closed,nsanchez,2022-06-29 12:47:00,05/Jul/22 12:00 AM,2022-07-27 08:40:00,Traton SE,Incident Request (IR),399914.0,2663.0,23411.0,16662.000000000004
CI-7052,399794,Closed,yutaka,2022-06-29 03:50:00,05/Jul/22 12:00 AM,2022-07-27 03:57:00,Vaillant,Incident Request (IR),399794.0,7699.0,9021.0,31306.000000000004
CI-7038,399153,Closed,yutaka,2022-06-27 05:32:00,30/Jun/22 12:00 AM,2022-08-09 13:14:00,Endress Hauser,Incident Request (IR),399153.0,14878.0,59802.0,2580.0
CI-7030,398778,Closed,ssanz,2022-06-23 15:03:00,30/Jun/22 12:00 AM,2022-07-15 08:54:00,Amadeus,Incident Request (IR),398778.0,11511.0,15953.000000000002,15358.0
CI-7027,398669,Closed,ssanz,2022-06-23 10:29:00,30/Jun/22 12:00 AM,2022-07-15 08:59:00,CMS Hasche Sigle,Incident Request (IR),398669.0,17198.000000000004,22961.0,8629.000000000002
CI-7023,398495,Closed,ssanz,2022-06-22 12:10:00,29/Jun/22 12:00 AM,2022-07-28 09:41:00,Luther,Incident Request (IR),398495.0,10111.0,10111.0,41580.0
CI-7015,398079,Closed,ssanz,2022-06-20 13:14:00,27/Jun/22 12:00 AM,2022-07-11 09:06:00,Bentley,Incident Request (IR),398079.0,5628.0,12243.0,17749.0
CI-7014,398055,Closed,ssanz,2022-06-20 11:54:00,27/Jun/22 12:00 AM,2022-07-21 15:41:00,LKW Walter,Incident Request (IR),398055.0,501.00000000000006,6376.0,34392.00000000001
CI-7014,398055,Closed,ssanz,2022-06-20 11:54:00,27/Jun/22 12:00 AM,2022-07-21 15:41:00,LKW Walter,Incident Request (IR),398055.0,2782.0,6376.0,34392.00000000001
CI-6972,396273,Closed,nsanchez,2022-06-08 10:02:00,14/Jun/22 12:00 AM,2022-07-04 08:16:00,CEPSA,Incident Request (IR),396273.0,18795.0,21738.0,15596.000000000002
CI-6965,396026,Closed,ssanz,2022-06-07 14:44:00,10/Jun/22 12:00 AM,2022-06-08 18:04:00,Numiga,Incident Request (IR),396026.0,27.0,1110.0,530.0000000000001
CI-6940,394478,Closed,nsanchez,2022-05-30 10:37:00,30/May/22 12:00 AM,2022-06-01 16:00:00,TUI AG,Incident Request (IR),394478.0,3201.0,3201.0,2.0000000000000004
CI-6939,394390,Closed,yutaka,2022-05-30 04:46:00,03/Jun/22 12:00 AM,2022-06-15 02:25:00,Endress Hauser,Incident Request (IR),394390.0,1662.0,4057.0000000000005,17061.000000000004
CI-6938,394270,Closed,ssanz,2022-05-27 14:42:00,03/Jun/22 12:00 AM,2022-06-03 09:26:00,Allianz,Incident Request (IR),394270.0,90.0,90.0,9674.0
CI-6937,394219,Closed,ssanz,2022-05-27 13:03:00,03/Jun/22 12:00 AM,2022-05-31 13:48:00,Allianz,Incident Request (IR),394219.0,56.0,4072.0000000000005,1733.0
CI-6935,394172,Closed,ssanz,2022-05-27 10:26:00,03/Jun/22 12:00 AM,2022-07-13 12:45:00,Bentley,Incident Request (IR),394172.0,14626.0,66340.00000000001,48907.0
CI-6935,394172,Closed,ssanz,2022-05-27 10:26:00,03/Jun/22 12:00 AM,2022-07-13 12:45:00,Bentley,Incident Request (IR),394172.0,51714.0,66340.00000000001,48907.0
CI-6933,394093,Closed,yutaka,2022-05-27 04:22:00,31/May/22 12:00 AM,2022-06-17 03:13:00,CMS Hasche Sigle,Incident Request (IR),394093.0,565.0,4963.0,25208.0
CI-6929,393937,Closed,ngraf,2022-05-26 03:18:00,31/May/22 12:00 AM,2022-06-21 11:24:00,OBB,Incident Request (IR),393937.0,423.0,27996.0,9930.0
CI-6928,393893,Closed,ssanz,2022-05-25 17:05:00,01/Jun/22 12:00 AM,2022-06-03 09:26:00,Allianz,Incident Request (IR),393893.0,2796.0,2796.0,9705.0
CI-6922,393737,Closed,ssanz,2022-05-25 10:52:00,02/Jun/22 12:00 AM,2022-11-07 10:23:00,Porsche,Incident Request (IR),393737.0,11613.0,236497.0,2514.0
CI-6913,393617,Closed,nsanchez,2022-05-24 16:23:00,31/May/22 12:00 AM,2022-06-27 15:26:00,Amadeus,Incident Request (IR),393617.0,4348.000000000001,31246.000000000004,17657.0
CI-6904,393418,Closed,ssanz,2022-05-23 16:46:00,30/May/22 12:00 AM,2022-06-07 08:23:00,Vaillant,Incident Request (IR),393418.0,2811.0,14561.0,6536.0
CI-6902,393407,Closed,ngraf,2022-05-23 16:22:00,30/May/22 12:00 AM,2022-06-08 17:11:00,i:FAO,Incident Request (IR),393407.0,2814.0,11180.0,11909.0
